directory,size_bytes,size_human
src/modules/auth/server,72430,70.73 KB
src/modules/institution/client,71577,69.90 KB
src/modules/institution-workbench/domain,67789,66.20 KB
scripts,66973,65.40 KB
src/modules/knowledge-base/server,61559,60.12 KB
docs/product/baselines,58418,57.05 KB
src/app/api/institution,57923,56.57 KB
src/modules/care/domain,55535,54.23 KB
src/modules/customer-center/domain,52234,51.01 KB
src/modules/institution-system/domain,48513,47.38 KB
src/app/api/v1/open-platform/knowledge-management,45320,44.26 KB
scripts/demo,45271,44.21 KB
public/ai-vendor-logos,45154,44.10 KB
docs/product/reviews,44980,43.93 KB
src/modules/institution/view-models,41327,40.36 KB
docs/operations,38595,37.69 KB
docs/product/copy,36364,35.51 KB
src/modules/open-platform/client,35069,34.25 KB
src/modules/institution-workbench/components,31089,30.36 KB
src/modules/platform-homepage,29826,29.13 KB
src/app/api/auth,27248,26.61 KB
src/modules/institution-system/server,24964,24.38 KB
src/modules/security/domain,24784,24.20 KB
docs/architecture,24387,23.82 KB
src/modules/auth/components,22835,22.30 KB
src/modules/marketing/domain,22731,22.20 KB
docs/product/test-reports,22546,22.02 KB
src/modules/platform-homepage/domain,21954,21.44 KB
src/app/api/v1/open-platform/knowledge-management/items,21535,21.03 KB
docs/superpowers/runbooks,19935,19.47 KB
src/modules/audit/domain,19206,18.76 KB
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId],18955,18.51 KB
docs/product/acceptance,18645,18.21 KB
src/app/api/v1/open-platform/ai-model-config,17797,17.38 KB
docs/product/demo,16816,16.42 KB
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files,16051,15.67 KB
src/app/api/institution/wecom,15908,15.54 KB
src/app/api/open-platform,15887,15.51 KB
src/app/api/auth/login,14841,14.49 KB
src/app/api/v1/open-platform/tenants,14619,14.28 KB
src/modules/audit/server,14462,14.12 KB
.claude,13814,13.49 KB
docs/product/handoffs,13335,13.02 KB
src/app/api/v1/open-platform/homepage-brand,13202,12.89 KB
src/modules/marketing/tests,12796,12.50 KB
src/app/api/institution/wecom/customer-mapping-reviews/[mappingId]/actions,12246,11.96 KB
src/app/api/institution/wecom/customer-mapping-reviews/[mappingId],12246,11.96 KB
src/app/api/institution/wecom/customer-mapping-reviews,12246,11.96 KB
src/app/api/auth/session,11733,11.46 KB
src/app/api/v1/open-platform/tenants/[tenantId],11632,11.36 KB
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId],11106,10.85 KB
var/knowledge-files/growth-tenant-chengxing,10789,10.54 KB
var/knowledge-files,10789,10.54 KB
docs/agent-guardrails,10365,10.12 KB
var/knowledge-files/growth-tenant-chengxing/inst-doc-8babf09f100271e6b2fa98c781509026663313dd,10102,9.87 KB
src/modules/audit/client,8867,8.66 KB
src/app/api/institution/knowledge-management,8679,8.48 KB
scripts/db,8655,8.45 KB
src/app/api/v1/open-platform/knowledge-management/directories,7932,7.75 KB
src/modules/platform-homepage/tests,7872,7.69 KB
src/app/api/v1/open-platform/ai-model-config/test,7495,7.32 KB
docs/security,7351,7.18 KB
src/app/api/v1/open-platform/provider-configs,6953,6.79 KB
src/modules/auth/domain,6934,6.77 KB
src/app/api/v1/open-platform/ai-runtime,6794,6.63 KB
src/app/api/v1/open-platform/plan-catalog,6758,6.60 KB
src/app/api/v1/open-platform/ai-model-config/sync,6024,5.88 KB
src/app/api/institution/his-connections,6003,5.86 KB
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse,5953,5.81 KB
src/app/api/institution/customers,5919,5.78 KB
src/modules/institution-workbench/server,5765,5.63 KB
src/app/api/open-platform/ai-credit-metering-rules,5713,5.58 KB
src/app/api/institution/his-connections/[connectionId],5488,5.36 KB
src/app/hospital,5396,5.27 KB
docs/dev,4941,4.83 KB
src/app/api/institution/customers/[customerId],4744,4.63 KB
src/app/api/v1/open-platform/knowledge-management/qa,4632,4.52 KB
scripts/dev,4566,4.46 KB
src/modules/open-platform/lib,4519,4.41 KB
src/modules/deployment,3849,3.76 KB
.claude/skills,3675,3.59 KB
src/app/api/institution/treatment-summaries,3628,3.54 KB
src/app/api/v1/open-platform/knowledge-management/directories/[directoryId],3627,3.54 KB
src/app/api/institution/followup-message-drafts,3589,3.50 KB
src/shared,3582,3.50 KB
src/app/api/open-platform/audit-events,3409,3.33 KB
src/app/api/v1/open-platform/tenants/[tenantId]/account,3381,3.30 KB
src/app/api/institution/wecom/customer-mapping-candidates,3318,3.24 KB
src/app/hospital/[...slug],3253,3.18 KB
src/app/api/open-platform/tenants,3235,3.16 KB
src/app/api/institution/his-connections/[connectionId]/credentials,3213,3.14 KB
src/app/api/institution/followup-message-drafts/[draftId],3103,3.03 KB
src/app/api/institution/treatment-summaries/[summaryId],2992,2.92 KB
src/app/api/institution/knowledge-management/items,2979,2.91 KB
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/visibility,2904,2.84 KB
src/app/api/institution/followup-paths,2781,2.72 KB
src/app/api/v1/open-platform/homepage-brand/assets,2694,2.63 KB
src/app/api/v1/open-platform/plan-catalog/versions/[versionId],2691,2.63 KB
src/app/api/v1/open-platform/plan-catalog/versions,2691,2.63 KB
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/download,2679,2.62 KB
docs/implementation,2604,2.54 KB
src/app/api/v1/open-platform/trial-data-reset,2588,2.53 KB
src/app/api/v1/open-platform/ai-runtime/status,2479,2.42 KB
src/shared/utils,2477,2.42 KB
src/app/api/v1/open-platform/knowledge-management/embeddings,2464,2.41 KB
src/app/api/open-platform/ai-credit-metering-rules/[id],2431,2.37 KB
src/app/api/v1/open-platform/ai-runtime/provider-config,2421,2.36 KB
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks,2407,2.35 KB
src/modules/deployment/tests,2391,2.33 KB
src/app/api/institution/followup-paths/enrollments,2385,2.33 KB
src/app/api/v1/open-platform/tenants/[tenantId]/commercial-records,2317,2.26 KB
src/app/api/open-platform/ai-usage-credits,2299,2.25 KB
src/app/api/v1/open-platform/provider-configs/smoke,2229,2.18 KB
src/app/api/v1/open-platform/knowledge-management/vector-search,2227,2.17 KB
src/app/api/institution/knowledge-management/items/[knowledgeId]/files,2210,2.16 KB
src/app/api/institution/knowledge-management/items/[knowledgeId],2210,2.16 KB
src/app/api/v1/open-platform/knowledge-management/search,2210,2.16 KB
src/app/api/v1/open-platform/knowledge-management/directories/reorder,2158,2.11 KB
src/app/api/v1/knowledge-base,2118,2.07 KB
src/app/api/v1/open-platform/knowledge-management/qa/audits,2030,1.98 KB
src/app/api/v1/open-platform/ai-runtime/smoke,1894,1.85 KB
src/app/uploads/homepage-brand/[kind]/[filename],1831,1.79 KB
src/app/uploads/homepage-brand/[kind],1831,1.79 KB
src/app/uploads/homepage-brand,1831,1.79 KB
src/app/uploads,1831,1.79 KB
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId],1824,1.78 KB
src/app/(auth),1718,1.68 KB
src/app/api/v1/open-platform/knowledge-management/files,1708,1.67 KB
src/app/api/v1/open-platform/package-ai-quota,1692,1.65 KB
src/app/api/v1/open-platform/tenants/[tenantId]/entitlement-usage,1505,1.47 KB
src/app/(marketing),1496,1.46 KB
src/app/api/institution/knowledge-management/indexing-jobs,1465,1.43 KB
src/modules/deployment/server,1458,1.42 KB
src/app/api/v1/open-platform/tenant-plan-options,1414,1.38 KB
src/app/api/v1/open-platform/knowledge-management/capabilities,1297,1.27 KB
.claude/skills/zmtg-secret-migration-guard,1280,1.25 KB
.claude/skills/zmtg-ui-test-reviewer,1249,1.22 KB
src/app/api/institution/followup-paths/enrollments/[enrollmentId],1233,1.20 KB
src/app/api/open-platform/wecom/customer-data-governance,1231,1.20 KB
src/app/api/open-platform/wecom,1231,1.20 KB
src/app/api/v1/open-platform/homepage-brand/draft,1203,1.17 KB
src/app/api/v1/open-platform/homepage-brand/rollback,1173,1.15 KB
src/app/api/v1/knowledge-base/demo-readonly,1150,1.12 KB
src/app/api/v1/open-platform/ai-usage,1148,1.12 KB
.claude/skills/zmtg-pr-gatekeeper,1146,1.12 KB
src/app/api/institution/customers/[customerId]/wecom-reachout-safety,1129,1.10 KB
src/app/api/v1/open-platform/plan-catalog/[planId]/versions,1122,1.10 KB
src/app/api/v1/open-platform/plan-catalog/[planId],1122,1.10 KB
src/shared/ui,1105,1.08 KB
src/app/api/v1/open-platform/tenants/[tenantId]/plan-change,1031,1.01 KB
src/app/api/v1/institution/ai-models,1017,1017.00 B
src/app/api/v1/institution,1017,1017.00 B
src/app/api/v1/open-platform/homepage-brand/publish,993,993.00 B
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse,986,986.00 B
src/app/api/v1/knowledge-base/runtime,968,968.00 B
src/app/api/v1/open-platform/tenants/[tenantId]/plan-change-preview,947,947.00 B
src/app/api/v1/open-platform/homepage-brand/versions,929,929.00 B
src/app/api/institution/knowledge-management/indexing-jobs/[jobId],882,882.00 B
src/app/api/v1/open-platform/plan-catalog/versions/[versionId]/publish,871,871.00 B
src/app/api/v1/open-platform/plan-catalog/versions/[versionId]/retire,869,869.00 B
src/app/api/institution/knowledge-management/qa,863,863.00 B
src/app/(auth)/platform-login,860,860.00 B
src/app/(auth)/login,858,858.00 B
src/app/api/institution/treatment-summaries/[summaryId]/follow-up-suggestions,836,836.00 B
src/app/api/institution/knowledge-management/ai-call,760,760.00 B
src/app/api/institution/customers/[customerId]/timeline,759,759.00 B
src/app/api/institution/treatment-summaries/[summaryId]/follow-up-tasks,755,755.00 B
src/app/api/institution/customers/[customerId]/followup-timeline,752,752.00 B
src/app/api/institution/customers/[customerId]/followup-overview,749,749.00 B
src/app/api/institution/customers/[customerId]/treatment-summaries,702,702.00 B
src/app/api/institution/knowledge-management/upload,701,701.00 B
src/app/api/institution/treatment-summaries/[summaryId]/void,693,693.00 B
src/app/api/auth/logout,674,674.00 B
src/app/api/institution/followup-operations/dashboard,667,667.00 B
src/app/api/institution/followup-operations,667,667.00 B
src/app/api/institution/wecom-official-dry-run,666,666.00 B
src/app/api/institution/customers/[customerId]/followup-feedback,653,653.00 B
src/app/api/institution/appointments,635,635.00 B
src/app/api/institution/followups,635,635.00 B
src/app/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task,630,630.00 B
src/app/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout,624,624.00 B
src/app/api/v1/workspace-dashboard/readonly-aggregation,623,623.00 B
src/app/api/v1/workspace-dashboard,623,623.00 B
src/app/api/institution/knowledge-management/answer,619,619.00 B
src/app/api/institution/audit-events,604,604.00 B
src/app/api/institution/wecom-customer-contact-readonly-proof,599,599.00 B
src/app/api/institution/wecom-official-internal-message-proof,599,599.00 B
src/app/api/institution/wecom-customer-contact-readonly-proof-mock,593,593.00 B
src/app/api/institution/wecom-official-secret-precheck,593,593.00 B
src/app/api/institution/followup-message-templates,583,583.00 B
src/app/api/institution/customers/import,580,580.00 B
src/app/api/institution/wecom-official-dry-run-config,537,537.00 B
src/app/api/institution/wecom-customer-contact-precheck,526,526.00 B
src/app/api/institution/real-channel-preflight,525,525.00 B
src/app/api/institution/wecom-official-dry-run-snapshot,516,516.00 B
src/app/api/institution/safety-switch,515,515.00 B
src/app/api/institution/follow-up-path-analysis,500,500.00 B
src/app/api/institution/dashboard-stats,487,487.00 B
src/app/api/institution/opportunities,480,480.00 B
src/app/api/institution/followup-message-drafts/[draftId]/approve,462,462.00 B
src/app/api/institution/followup-message-drafts/[draftId]/mark-sent,462,462.00 B
src/app/api/institution/followup-message-drafts/[draftId]/reject,462,462.00 B
src/app/api/institution/followup-paths/enrollments/[enrollmentId]/cancel,461,461.00 B
src/app/api/institution/knowledge-management/retrieval,459,459.00 B
src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/cancel,445,445.00 B
src/app/api/institution/his-connections/[connectionId]/pause,443,443.00 B
src/app/api/institution/his-connections/[connectionId]/resume,443,443.00 B
src/app/api/institution/his-connections/[connectionId]/revoke,443,443.00 B
src/app/api/institution/wecom-customer-mapping,436,436.00 B
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/embeddings,430,430.00 B
src/app/api/institution/knowledge-management/vector-search,420,420.00 B
src/app/api/institution/knowledge-management/search,413,413.00 B
src/app/api/v1/open-platform/ai-readonly,412,412.00 B
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/download,408,408.00 B
src/app/api/institution/knowledge-management/qa/audits,401,401.00 B
src/modules/branding,398,398.00 B
src/app/api/institution/followup-paths/templates,396,396.00 B
src/app/api/v1/knowledge-base/runtime/index-jobs,395,395.00 B
src/app/api/institution/his-connections/[connectionId]/credentials/rotate,389,389.00 B
src/app/api/institution/his-connections/[connectionId]/credentials/revoke,385,385.00 B
src/app/api/v1/knowledge-base/runtime/documents,385,385.00 B
src/app/api/institution/his-connections/[connectionId]/credentials/clear,384,384.00 B
src/test,384,384.00 B
src/app/open-platform,377,377.00 B
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks,370,370.00 B
src/app/api/institution/entitlement-usage,362,362.00 B
src/app/api/institution/knowledge-management/ai-call/usage,360,360.00 B
src/app/api/institution/ai-service-usage,358,358.00 B
src/app/api/institution/his-connections/[connectionId]/test-connection,355,355.00 B
src/app/api/institution/wecom/external-contacts,344,344.00 B
src/app/api/institution/wecom-official-dry-run/evaluate,336,336.00 B
src/app/api/version,227,227.00 B
src/app/api/v1/knowledge-base/runtime/index-jobs/run,201,201.00 B
src/app/api/v1/knowledge-base/runtime/documents/upload,191,191.00 B
src/app/api/v1/knowledge-base/runtime/search,188,188.00 B
src/server/context,167,167.00 B
var/knowledge-files/growth-tenant-chengxing/inst-doc-0cf001efd2cfa0a8858fd54b1202560161f7e501,164,164.00 B
var/knowledge-files/growth-tenant-chengxing/inst-doc-73d8f88fcb6306d4ddfdd7d7344f182434ab5d69,163,163.00 B
var/knowledge-files/growth-tenant-chengxing/inst-doc-487854dd6ac05694b4dcb4aecc934c35ad2a7a5d,88,88.00 B
var/knowledge-files/growth-tenant-chengxing/inst-doc-5f3332e2690f934475e536c831aa6b647e86083d,82,82.00 B
var/knowledge-files/growth-tenant-chengxing/inst-doc-f2cdaee65ca2937ee36a6e41a3476259dedd5771,82,82.00 B
var/knowledge-files/growth-tenant-chengxing/inst-doc-7ce2a3e2d83a8908fb0ab93d5c02ebf0caada32c,75,75.00 B
src/app/api/institution/real-channel-preflight/evaluate,33,33.00 B
src/app/api/institution/wecom-official-dry-run-config/evaluate,33,33.00 B
var/knowledge-files/growth-tenant-chengxing/inst-doc-530788e838a4a3278133869030c6795ba333506a,33,33.00 B
