path,name,extension,size_bytes,size_human,modified_at,depth,top_level,category,git_state,is_symlink
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-2.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-2.json,.json,971699,948.92 KB,2026-07-13 23:17:10,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-0.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-0.json,.json,3989167,3.80 MB,2026-07-13 23:17:04,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-1.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-1.json,.json,5679969,5.42 MB,2026-07-13 23:17:08,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-2.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w3-2.json,.json,4701083,4.48 MB,2026-07-13 23:17:12,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-0.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-0.json,.json,5620231,5.36 MB,2026-07-13 23:17:04,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-1.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-1.json,.json,4784781,4.56 MB,2026-07-13 23:17:08,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-2.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w4-2.json,.json,5827185,5.56 MB,2026-07-13 23:17:13,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w5-0.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w5-0.json,.json,5265102,5.02 MB,2026-07-13 23:17:04,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w5-1.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w5-1.json,.json,5943816,5.67 MB,2026-07-13 23:17:09,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-0.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-0.json,.json,5322089,5.08 MB,2026-07-12 15:42:01,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-1.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-1.json,.json,3893347,3.71 MB,2026-07-12 15:42:05,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-2.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w1-2.json,.json,4153442,3.96 MB,2026-07-12 15:42:09,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-0.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-0.json,.json,3106705,2.96 MB,2026-07-12 15:42:00,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-1.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-1.json,.json,4957898,4.73 MB,2026-07-12 15:42:05,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-2.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w2-2.json,.json,5674027,5.41 MB,2026-07-12 15:42:10,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-0.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-0.json,.json,4147247,3.96 MB,2026-07-12 15:42:00,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-1.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-1.json,.json,5946531,5.67 MB,2026-07-12 15:42:05,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-2.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-2.json,.json,4173839,3.98 MB,2026-07-12 15:42:11,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w4-0.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w4-0.json,.json,5751564,5.49 MB,2026-07-12 15:42:01,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w4-1.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w4-1.json,.json,3666804,3.50 MB,2026-07-12 15:42:06,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w5-0.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w5-0.json,.json,5225829,4.98 MB,2026-07-12 15:42:01,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w5-1.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w5-1.json,.json,6131705,5.85 MB,2026-07-12 15:42:06,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-0.json,94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-0.json,.json,4293759,4.09 MB,2026-06-25 11:47:21,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-1.json,94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-1.json,.json,4146830,3.95 MB,2026-06-25 11:47:24,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-2.json,94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w1-2.json,.json,4718416,4.50 MB,2026-06-25 11:47:27,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-0.json,94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-0.json,.json,5454977,5.20 MB,2026-06-25 11:47:21,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-1.json,94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-1.json,.json,4162348,3.97 MB,2026-06-25 11:47:25,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-2.json,94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w2-2.json,.json,4195851,4.00 MB,2026-06-25 11:47:29,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w3-0.json,94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w3-0.json,.json,4989724,4.76 MB,2026-06-25 11:47:22,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w3-1.json,94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w3-1.json,.json,6081464,5.80 MB,2026-06-25 11:47:26,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-0.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-0.json,.json,5301209,5.06 MB,2026-07-11 22:49:24,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-1.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-1.json,.json,3566227,3.40 MB,2026-07-11 22:49:29,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-2.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w1-2.json,.json,2966162,2.83 MB,2026-07-11 22:49:32,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-0.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-0.json,.json,3317463,3.16 MB,2026-07-11 22:49:23,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-1.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-1.json,.json,5616116,5.36 MB,2026-07-11 22:49:28,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-2.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w2-2.json,.json,5096437,4.86 MB,2026-07-11 22:49:33,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w3-0.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w3-0.json,.json,4313915,4.11 MB,2026-07-11 22:49:23,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w3-1.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w3-1.json,.json,4914207,4.69 MB,2026-07-11 22:49:29,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-0.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-0.json,.json,5485713,5.23 MB,2026-07-11 22:49:24,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-1.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-1.json,.json,4375119,4.17 MB,2026-07-11 22:49:29,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-2.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w4-2.json,.json,3669179,3.50 MB,2026-07-11 22:49:34,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w5-0.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w5-0.json,.json,5551234,5.29 MB,2026-07-11 22:49:25,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w5-1.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w5-1.json,.json,6424899,6.13 MB,2026-07-11 22:49:31,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/index.json,index.json,.json,298,298.00 B,2026-07-14 02:23:28,3,.gitnexus,other,other,False
.gitnexus/run.cjs,run.cjs,.cjs,15584,15.22 KB,2026-06-25 11:47:42,2,.gitnexus,other,other,False
AGENTS.md,AGENTS.md,.md,6299,6.15 KB,2026-07-15 11:39:18,1,(root),other,tracked,False
CLAUDE.md,CLAUDE.md,.md,2309,2.25 KB,2026-07-15 11:39:18,1,(root),other,tracked,False
README.md,README.md,.md,75526,73.76 KB,2026-07-15 11:39:18,1,(root),other,tracked,False
docs/.DS_Store,.DS_Store,,10244,10.00 KB,2026-06-29 03:52:06,2,docs,docs,other,False
docs/agent-guardrails/zmtg-agent-guardrails-v1.md,zmtg-agent-guardrails-v1.md,.md,2751,2.69 KB,2026-07-15 11:39:18,3,docs,docs,tracked,False
docs/agent-guardrails/zmtg-pr-gatekeeper.md,zmtg-pr-gatekeeper.md,.md,2498,2.44 KB,2026-07-15 11:39:18,3,docs,docs,tracked,False
docs/agent-guardrails/zmtg-secret-migration-guard.md,zmtg-secret-migration-guard.md,.md,2876,2.81 KB,2026-07-15 11:39:18,3,docs,docs,tracked,False
docs/agent-guardrails/zmtg-ui-test-reviewer.md,zmtg-ui-test-reviewer.md,.md,2240,2.19 KB,2026-07-15 11:39:18,3,docs,docs,tracked,False
docs/ai-agent-governance.md,ai-agent-governance.md,.md,9610,9.38 KB,2026-07-15 11:39:18,2,docs,docs,tracked,False
docs/architecture/zmtg-new-project-architecture-design.md,zmtg-new-project-architecture-design.md,.md,24387,23.82 KB,2026-07-15 11:39:18,3,docs,docs,tracked,False
docs/design/.DS_Store,.DS_Store,,6148,6.00 KB,2026-06-22 22:33:40,3,docs,docs,other,False
docs/design/ai-usage-old-system-visual-parity-2026-06-19.md,ai-usage-old-system-visual-parity-2026-06-19.md,.md,14285,13.95 KB,2026-06-19 20:18:10,3,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/2026-06-22-tenant-account-plan-entitlement-ui-design.md,2026-06-22-tenant-account-plan-entitlement-ui-design.md,.md,15026,14.67 KB,2026-06-22 19:02:40,4,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/images/01-tenant-management-entry.svg,01-tenant-management-entry.svg,.svg,7292,7.12 KB,2026-06-22 19:02:40,5,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/images/02-create-tenant-form.svg,02-create-tenant-form.svg,.svg,5870,5.73 KB,2026-06-22 19:02:40,5,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/images/03-plan-entitlement-preview.svg,03-plan-entitlement-preview.svg,.svg,5123,5.00 KB,2026-06-22 19:02:40,5,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/images/04-submit-confirmation.svg,04-submit-confirmation.svg,.svg,4019,3.92 KB,2026-06-22 19:02:40,5,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/images/05-tenant-detail-snapshot.svg,05-tenant-detail-snapshot.svg,.svg,4146,4.05 KB,2026-06-22 19:02:40,5,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/images/06-product-plan-matrix.svg,06-product-plan-matrix.svg,.svg,4429,4.33 KB,2026-06-22 19:02:40,5,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/images/v11-01-tenant-overview-list.png,v11-01-tenant-overview-list.png,.png,1225310,1.17 MB,2026-06-22 19:02:40,5,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/images/v11-02-filtered-risk-list.png,v11-02-filtered-risk-list.png,.png,1174541,1.12 MB,2026-06-22 19:02:40,5,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/images/v11-03-tenant-detail-snapshot.png,v11-03-tenant-detail-snapshot.png,.png,1221198,1.16 MB,2026-06-22 19:02:40,5,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/images/v11-04-create-tenant-step1.png,v11-04-create-tenant-step1.png,.png,1027105,1003.03 KB,2026-06-22 19:02:40,5,docs,docs,tracked,False
docs/design/tenant-account-plan-entitlement/images/v11-05-create-tenant-step2.png,v11-05-create-tenant-step2.png,.png,1126452,1.07 MB,2026-06-22 19:02:40,5,docs,docs,tracked,False
