path,methods,section,dynamic_object,direct_db,demo_signal,high_risk_path,legacy_or_retired,capability_off,request_read_detected,formal_guard_current,first_batch_completed,second_batch_selected,classification
src/app/api/institution/followup-paths/enrollments/[enrollmentId]/cancel/route.ts,POST,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/followup-paths/enrollments/[enrollmentId]/route.ts,GET,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/followup-paths/enrollments/route.ts,GET|POST,care,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/followup-paths/templates/route.ts,GET,care,false,false,false,false,false,true,false,false,false,true,second_batch_eligible
src/app/api/institution/followups/route.ts,GET|POST|PATCH,care,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/his-connections/[connectionId]/credentials/clear/route.ts,POST,system,true,false,false,true,false,false,false,false,false,false,deferred_dynamic_object
src/app/api/institution/his-connections/[connectionId]/credentials/revoke/route.ts,POST,system,true,false,false,true,false,false,false,false,false,false,deferred_dynamic_object
src/app/api/institution/his-connections/[connectionId]/credentials/rotate/route.ts,POST,system,true,false,false,true,false,false,false,false,false,false,deferred_dynamic_object
src/app/api/institution/his-connections/[connectionId]/credentials/route.ts,POST|PATCH,system,true,false,false,true,false,false,false,false,false,false,deferred_dynamic_object
src/app/api/institution/his-connections/[connectionId]/pause/route.ts,POST,system,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/his-connections/[connectionId]/resume/route.ts,POST,system,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/his-connections/[connectionId]/revoke/route.ts,POST,system,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/his-connections/[connectionId]/route.ts,GET|PATCH|DELETE,system,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/his-connections/[connectionId]/test-connection/route.ts,POST,system,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/his-connections/route.ts,GET|POST,system,false,false,false,true,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/knowledge-management/ai-call/route.ts,POST,knowledge,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/knowledge-management/ai-call/usage/route.ts,GET,knowledge,false,false,false,false,false,true,false,true,true,false,first_batch_completed
src/app/api/institution/knowledge-management/answer/route.ts,POST,knowledge,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/cancel/route.ts,POST,knowledge,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/route.ts,GET,knowledge,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/knowledge-management/indexing-jobs/route.ts,GET|POST,knowledge,false,false,false,true,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.ts,GET,knowledge,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/embeddings/route.ts,POST,knowledge,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.ts,GET,knowledge,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.ts,GET|POST,knowledge,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/knowledge-management/items/[knowledgeId]/files/route.ts,GET,knowledge,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/knowledge-management/items/route.ts,GET|POST|PATCH,knowledge,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/knowledge-management/qa/audits/route.ts,GET,knowledge,false,false,false,false,false,true,false,false,false,true,second_batch_eligible
src/app/api/institution/knowledge-management/qa/route.ts,POST,knowledge,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/knowledge-management/retrieval/route.ts,GET,knowledge,false,false,false,false,false,true,false,true,true,false,first_batch_completed
src/app/api/institution/knowledge-management/search/route.ts,GET,knowledge,false,false,false,false,false,true,false,true,true,false,first_batch_completed
src/app/api/institution/knowledge-management/upload/route.ts,POST,knowledge,false,false,false,true,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/knowledge-management/vector-search/route.ts,GET,knowledge,false,false,false,false,false,true,false,true,true,false,first_batch_completed
src/app/api/institution/opportunities/route.ts,GET,customers,false,false,false,false,true,false,false,false,false,false,deferred_retired_or_legacy_route
src/app/api/institution/real-channel-preflight/evaluate/route.ts,POST,system,false,false,false,true,false,false,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/real-channel-preflight/route.ts,GET|POST,system,false,false,false,true,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/safety-switch/route.ts,GET|PATCH,system,false,false,false,true,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/treatment-summaries/[summaryId]/follow-up-suggestions/route.ts,GET,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/treatment-summaries/[summaryId]/follow-up-tasks/route.ts,POST,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/treatment-summaries/[summaryId]/route.ts,PATCH,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/treatment-summaries/[summaryId]/void/route.ts,POST,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/treatment-summaries/route.ts,GET,care,false,false,false,false,false,true,false,false,false,false,second_batch_eligible
src/app/api/institution/wecom-customer-contact-precheck/route.ts,GET|POST,conversations,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.ts,GET|POST,conversations,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/wecom-customer-contact-readonly-proof/route.ts,GET|POST,conversations,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/wecom-customer-mapping/route.ts,GET|POST,conversations,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/wecom-official-dry-run-config/evaluate/route.ts,POST,conversations,false,false,false,true,false,false,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/wecom-official-dry-run-config/route.ts,GET|POST,conversations,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/wecom-official-dry-run-snapshot/route.ts,GET|POST,conversations,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/wecom-official-dry-run/evaluate/route.ts,POST,conversations,false,false,false,true,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/wecom-official-dry-run/route.ts,GET,conversations,false,false,false,false,false,true,false,false,false,false,second_batch_eligible
src/app/api/institution/wecom-official-internal-message-proof/route.ts,GET|POST,conversations,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/wecom-official-secret-precheck/route.ts,GET|POST,conversations,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/wecom/customer-mapping-candidates/route.ts,GET,conversations,false,false,false,false,false,true,false,false,false,false,second_batch_eligible
src/app/api/institution/wecom/customer-mapping-reviews/[mappingId]/actions/route.ts,POST,conversations,true,false,false,true,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/wecom/external-contacts/route.ts,GET,conversations,false,false,false,false,false,true,false,false,false,true,second_batch_eligible
src/app/api/v1/institution/ai-models/route.ts,GET,system,false,false,true,false,false,false,false,false,false,false,deferred_demo_or_legacy_context
src/app/api/v1/institution/wecom-official-dry-run/route.ts,GET,conversations,false,false,false,false,false,false,false,false,false,false,deferred_non_capability_off_handler
