slice_id,owner,exact_current_surface_path,attribution_shape,bypass_flags,future_runtime_allowlist_status
W3_KNOWLEDGE,Knowledge,src/modules/institution/server/knowledge-quota-usage-service.ts,tenant_plus_institution_shape_present,legacy_institution,candidate_exact_existing_surface_not_authorized
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/server/tenant-business-repository.ts,tenant_plus_institution_shape_present,legacy_institution,candidate_exact_existing_surface_not_authorized
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/server/treatment-summary-repository.ts,tenant_plus_institution_shape_present,legacy_institution,candidate_exact_existing_surface_not_authorized
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/server/trial-provisioning-service.ts,tenant_plus_institution_shape_present,legacy_institution,candidate_exact_existing_surface_not_authorized
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/server/trusted-reachout-safety-repository.ts,tenant_plus_institution_shape_present,legacy_institution,candidate_exact_existing_surface_not_authorized
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/server/wecom-customer-broadcast-task-outcome-repository.ts,tenant_plus_institution_shape_present,legacy_institution,candidate_exact_existing_surface_not_authorized
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/server/wecom-customer-mapping-repository.ts,tenant_plus_institution_shape_present,legacy_institution,candidate_exact_existing_surface_not_authorized
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/server/wecom-real-send-proof-repository.ts,mixed_attribution_shape_review,legacy_institution,candidate_exact_existing_surface_not_authorized
W3_KNOWLEDGE,Knowledge,src/modules/institution-knowledge/domain/knowledge-content-manifest.ts,table_reference_unresolved_review,none,candidate_exact_existing_surface_not_authorized
W3_KNOWLEDGE,Knowledge,src/modules/knowledge-base/server/v1-knowledge-base-embedding-vector-index-runtime.ts,tenant_plus_institution_shape_present,none,candidate_exact_existing_surface_not_authorized
W3_KNOWLEDGE,Knowledge,src/modules/knowledge-base/server/v1-knowledge-base-runtime-foundation-repository.ts,tenant_plus_institution_shape_present,none,candidate_exact_existing_surface_not_authorized
BYPASS_SEED_MAINTENANCE,Seed / Maintenance / Shared DB,scripts/db/base02-b5-cross-tenant-transfer-runner.mjs,table_reference_unresolved_review,script,candidate_exact_existing_surface_not_authorized
BYPASS_SEED_MAINTENANCE,Seed / Maintenance / Shared DB,scripts/demo/seed-v06-low-sensitive-demo.ts,mixed_attribution_shape_review,script|seed,candidate_exact_existing_surface_not_authorized
BYPASS_SEED_MAINTENANCE,Seed / Maintenance / Shared DB,scripts/verify/architecture-quality.mjs,mixed_attribution_shape_review,raw_sql|script,candidate_exact_existing_surface_not_authorized
