original_path,current_path,governance_category,role,owner,loc,import_count,inbound_consumer_count,test_consumer_count,runtime_boundary_tokens,cross_module_outbound_count,cross_module_inbound_count,reverse_dependency_count,cycle_member,classification_reason,next_action,blocking_phase29
src/modules/open-platform/components/KnowledgeTenantRow.tsx,src/modules/open-platform/components/KnowledgeTenantRow.tsx,keep_current,component,knowledge,74,1,1,0,,0,0,0,no,role_component,retain_current_location_and_stable_entry,no
src/modules/open-platform/components/OpenConnectionRoadmapPanel.tsx,src/modules/open-platform/components/OpenConnectionRoadmapPanel.tsx,protected_boundary,component,shared,140,3,2,1,,0,1,0,no,cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/OpenPlatformAiCreditMeteringRulesPanel.tsx,src/modules/open-platform/components/OpenPlatformAiCreditMeteringRulesPanel.tsx,protected_boundary,component,ai_runtime,474,5,2,1,react,0,1,0,no,runtime_boundary；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/OpenPlatformAiModelConfigPanel.tsx,src/modules/open-platform/components/OpenPlatformAiModelConfigPanel.tsx,protected_boundary,component,platform_config,1068,7,1,0,network；react；browser_runtime；credential_or_provider,0,1,0,no,runtime_boundary；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/OpenPlatformAiReadonlyPanel.tsx,src/modules/open-platform/components/OpenPlatformAiReadonlyPanel.tsx,protected_boundary,component,shared,2031,5,3,2,react；browser_runtime,0,1,0,no,runtime_boundary；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/OpenPlatformAuditEventsPanel.tsx,src/modules/open-platform/components/OpenPlatformAuditEventsPanel.tsx,protected_boundary,component,audit,621,6,2,1,react,3,1,0,no,runtime_boundary；cross_module_outbound；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/OpenPlatformGovernancePanel.tsx,src/modules/open-platform/components/OpenPlatformGovernancePanel.tsx,keep_current,component,shared,200,4,1,1,,0,0,0,no,shared_owner,retain_current_location_and_stable_entry,no
src/modules/open-platform/components/OpenPlatformKnowledgeManagementPanel.tsx,src/modules/open-platform/components/OpenPlatformKnowledgeManagementPanel.tsx,protected_boundary,component,knowledge,2521,10,2,1,network；react；browser_runtime,0,1,0,no,runtime_boundary；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/OpenPlatformTenantManagementPanel.tsx,src/modules/open-platform/components/OpenPlatformTenantManagementPanel.tsx,protected_boundary,component,tenant_governance,1779,9,2,1,network；react,0,1,0,no,runtime_boundary；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/PlatformSectionBanner.tsx,src/modules/open-platform/components/PlatformSectionBanner.tsx,protected_boundary,component,shared,47,2,15,0,react,0,1,0,no,runtime_boundary；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/ProductPlanPanel.tsx,src/modules/open-platform/components/ProductPlanPanel.tsx,protected_boundary,component,commercial_entitlement,1008,6,2,1,react,0,1,0,no,runtime_boundary；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/TrialDataResetPanel.tsx,src/modules/open-platform/components/TrialDataResetPanel.tsx,protected_boundary,component,tenant_governance,337,3,1,0,network；react,0,1,0,no,runtime_boundary；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/TrialV01ExperienceHandoffPanel.tsx,src/modules/open-platform/components/TrialV01ExperienceHandoffPanel.tsx,protected_boundary,component,tenant_governance,555,2,1,0,network；react,0,1,0,no,runtime_boundary；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/WeComCustomerDataGovernancePanel.tsx,src/modules/open-platform/components/WeComCustomerDataGovernancePanel.tsx,protected_boundary,component,shared,315,4,2,1,network；react,0,1,0,no,runtime_boundary；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/domain/governance.ts,src/modules/open-platform/domain/governance.ts,keep_current,domain,shared,234,0,2,1,,0,0,0,no,shared_owner,retain_current_location_and_stable_entry,no
src/modules/open-platform/domain/plan-catalog.ts,src/modules/open-platform/domain/plan-catalog.ts,protected_boundary,domain,commercial_entitlement,293,0,5,1,credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/domain/platform-commercial-health.ts,src/modules/open-platform/domain/platform-commercial-health.ts,protected_boundary,domain,commercial_entitlement,380,2,2,1,,1,0,0,no,cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/domain/tenant-commercial-records.ts,src/modules/open-platform/domain/tenant-commercial-records.ts,migrate_candidate,domain,commercial_entitlement,159,0,5,1,,0,0,0,no,owned_core_file_without_protected_boundary,separate_authorization_select_at_most_one_file,no
src/modules/open-platform/domain/tenant-management-view.ts,src/modules/open-platform/domain/tenant-management-view.ts,protected_boundary,domain,tenant_governance,180,1,3,1,,0,1,0,no,cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/domain/tenant-management.ts,src/modules/open-platform/domain/tenant-management.ts,protected_boundary,domain,tenant_governance,182,0,13,3,,0,1,0,no,cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/domain/tenant-plan-binding.ts,src/modules/open-platform/domain/tenant-plan-binding.ts,defer,domain,commercial_entitlement,208,0,10,3,,0,0,0,no,too_many_consumers,reassess_after_later_module_and_cross_module_governance,no
src/modules/open-platform/domain/tenant-plan-change.ts,src/modules/open-platform/domain/commercial_entitlement/tenant-plan-change.ts,completed_pilot,domain,commercial_entitlement,244,1,4,1,,0,0,0,no,phase27_pure_domain_move_completed,retain_current_path_and_traceability,no
src/modules/open-platform/domain/vendor-catalog.ts,src/modules/open-platform/domain/vendor-catalog.ts,protected_boundary,domain,provider_config,53,0,14,4,network,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/domain/wecom-customer-data-governance.ts,src/modules/open-platform/domain/wecom-customer-data-governance.ts,protected_boundary,domain,shared,497,2,5,3,,1,0,0,no,cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/lib/platformAiReadonlyViewLoader.ts,src/modules/open-platform/lib/platformAiReadonlyViewLoader.ts,keep_current,other,shared,21,1,0,0,,0,0,0,no,shared_owner,retain_current_location_and_stable_entry,no
src/modules/open-platform/lib/platformKnowledgeManagementViewLoader.ts,src/modules/open-platform/lib/platformKnowledgeManagementViewLoader.ts,protected_boundary,other,knowledge,104,1,2,1,network,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/mock/platformAiModelConfig.ts,src/modules/open-platform/mock/platformAiModelConfig.ts,protected_boundary,other,platform_config,182,0,5,0,credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/mock/platformAiModelRegistry.ts,src/modules/open-platform/mock/platformAiModelRegistry.ts,protected_boundary,other,shared,269,0,2,0,credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/mock/platformAiReadonly.ts,src/modules/open-platform/mock/platformAiReadonly.ts,protected_boundary,other,shared,107,2,1,0,credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/mock/platformAiUsageCost.ts,src/modules/open-platform/mock/platformAiUsageCost.ts,protected_boundary,other,shared,572,0,2,0,credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/mock/platformKnowledge.ts,src/modules/open-platform/mock/platformKnowledge.ts,keep_current,other,knowledge,1003,0,3,1,,0,0,0,no,role_other,retain_current_location_and_stable_entry,no
src/modules/open-platform/server/ai-credit-metering-rules-management.ts,src/modules/open-platform/server/ai-credit-metering-rules-management.ts,protected_boundary,server_service,ai_runtime,391,4,4,2,database；environment；credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/ai-usage-credits.ts,src/modules/open-platform/server/ai-usage-credits.ts,protected_boundary,server_service,ai_runtime,1068,4,3,2,database；credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/homepage-brand-asset-storage.ts,src/modules/open-platform/server/homepage-brand-asset-storage.ts,protected_boundary,server_repository,homepage_brand,110,4,5,3,environment,0,0,1,no,server_repository；runtime_boundary；reverse_dependency,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/homepage-brand-local-repository.ts,src/modules/open-platform/server/homepage-brand-local-repository.ts,protected_boundary,server_repository,homepage_brand,235,4,2,1,environment,1,0,1,no,server_repository；runtime_boundary；cross_module_outbound；reverse_dependency,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/homepage-brand-repository.ts,src/modules/open-platform/server/homepage-brand-repository.ts,protected_boundary,server_repository,homepage_brand,234,5,6,3,database,1,1,1,no,server_repository；runtime_boundary；cross_module_outbound；reverse_dependency；dynamic_path_reference；dynamic_sources=src/modules/marketing/tests/MarketingPage.test.tsx；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/homepage-brand-service.ts,src/modules/open-platform/server/homepage-brand-service.ts,protected_boundary,server_service,homepage_brand,573,2,18,4,environment,1,1,0,no,runtime_boundary；cross_module_outbound；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/package-ai-quota-readonly.ts,src/modules/open-platform/server/package-ai-quota-readonly.ts,protected_boundary,server_service,commercial_entitlement,263,1,2,1,,1,0,0,no,cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/plan-catalog-repository.ts,src/modules/open-platform/server/plan-catalog-repository.ts,protected_boundary,server_repository,commercial_entitlement,256,4,4,2,database,0,0,0,no,server_repository；runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/plan-catalog-service.ts,src/modules/open-platform/server/plan-catalog-service.ts,protected_boundary,server_service,commercial_entitlement,186,3,5,0,environment,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-ai-provider-adapter.ts,src/modules/open-platform/server/platform-knowledge-ai-provider-adapter.ts,protected_boundary,server_service,knowledge,245,1,6,5,credential_or_provider,0,0,0,yes,runtime_boundary；cycle_member；dynamic_path_reference；dynamic_sources=src/modules/open-platform/tests/PlatformKnowledgeQaApiRoute.test.ts,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-ai-readiness-evaluation.ts,src/modules/open-platform/server/platform-knowledge-ai-readiness-evaluation.ts,protected_boundary,server_service,knowledge,231,0,3,2,credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-document-parsing-service.ts,src/modules/open-platform/server/platform-knowledge-document-parsing-service.ts,protected_boundary,server_service,knowledge,1252,9,9,3,database；environment；browser_runtime,3,2,0,yes,runtime_boundary；cross_module_outbound；cross_module_inbound；cycle_member,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-embedding-vector-search-service.ts,src/modules/open-platform/server/platform-knowledge-embedding-vector-search-service.ts,protected_boundary,server_service,knowledge,973,3,15,8,environment；credential_or_provider,0,5,0,yes,runtime_boundary；cross_module_inbound；cycle_member；dynamic_path_reference；dynamic_sources=src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx|src/modules/open-platform/tests/PlatformKnowledgeQaApiRoute.test.ts,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-file-management-service.ts,src/modules/open-platform/server/platform-knowledge-file-management-service.ts,protected_boundary,server_service,knowledge,437,3,17,4,environment,0,3,0,yes,runtime_boundary；cross_module_inbound；cycle_member,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-file-storage.ts,src/modules/open-platform/server/platform-knowledge-file-storage.ts,protected_boundary,server_repository,knowledge,74,3,9,6,environment,0,3,1,no,server_repository；runtime_boundary；reverse_dependency；dynamic_path_reference；dynamic_sources=src/modules/institution/tests/InstitutionKnowledgeDownloadCapabilityRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx|src/modules/institution/tests/InstitutionKnowledgeUploadApiRoute.test.ts；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-indexing-job-service.ts,src/modules/open-platform/server/platform-knowledge-indexing-job-service.ts,protected_boundary,server_service,knowledge,844,11,7,4,database；environment,3,5,0,yes,runtime_boundary；cross_module_outbound；cross_module_inbound；cycle_member；dynamic_path_reference；dynamic_sources=src/modules/institution/tests/InstitutionKnowledgeManagementReadonlyApiRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-keyword-search-service.ts,src/modules/open-platform/server/platform-knowledge-keyword-search-service.ts,protected_boundary,server_service,knowledge,316,2,11,7,,0,4,0,yes,cross_module_inbound；cycle_member；dynamic_path_reference；dynamic_sources=src/modules/institution/tests/InstitutionKnowledgeSearchCapabilityRoute.test.ts,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-management-repository.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,protected_boundary,server_repository,knowledge,1609,12,59,31,database；environment；browser_runtime,1,19,7,yes,server_repository；runtime_boundary；cross_module_outbound；cross_module_inbound；reverse_dependency；cycle_member；dynamic_path_reference；dynamic_sources=src/modules/institution/tests/InstitutionKnowledgeAnswerApiRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeDownloadCapabilityRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeItemsCapabilityRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeManagementReadonlyApiRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeQaCapabilityRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx|src/modules/institution/tests/InstitutionKnowledgeRetrievalCapabilityRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeSearchCapabilityRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeUploadApiRoute.test.ts|src/modules/institution/tests/InstitutionKnowledgeVectorSearchCapabilityRoute.test.ts,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-management-service.ts,src/modules/open-platform/server/platform-knowledge-management-service.ts,protected_boundary,server_service,knowledge,1093,9,9,2,environment,3,1,0,no,runtime_boundary；cross_module_outbound；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-ocr-provider.ts,src/modules/open-platform/server/platform-knowledge-ocr-provider.ts,protected_boundary,server_service,knowledge,154,0,5,3,,0,1,0,no,cross_module_inbound；dynamic_test_mock_reference；src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx；dynamic_path_reference；dynamic_sources=src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-production-governance-policy.ts,src/modules/open-platform/server/platform-knowledge-production-governance-policy.ts,protected_boundary,server_service,knowledge,272,1,7,5,,1,1,0,no,cross_module_outbound；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platform-knowledge-qa-service.ts,src/modules/open-platform/server/platform-knowledge-qa-service.ts,protected_boundary,server_service,knowledge,597,8,11,5,environment,0,2,0,yes,runtime_boundary；cross_module_inbound；cycle_member；dynamic_path_reference；dynamic_sources=src/modules/open-platform/tests/PlatformKnowledgeQaApiRoute.test.ts,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platformAiModelConfigContract.ts,src/modules/open-platform/server/platformAiModelConfigContract.ts,protected_boundary,server_service,platform_config,177,1,2,2,credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platformAiModelConfigPersistence.ts,src/modules/open-platform/server/platformAiModelConfigPersistence.ts,protected_boundary,server_service,platform_config,466,3,5,1,credential_or_provider,1,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platformAiModelConfigPersistenceRepository.ts,src/modules/open-platform/server/platformAiModelConfigPersistenceRepository.ts,protected_boundary,server_repository,platform_config,81,5,5,2,database,0,0,2,no,server_repository；runtime_boundary；reverse_dependency；dynamic_path_reference；dynamic_sources=src/modules/open-platform/tests/OpenPlatformAiModelConfigPersistence.test.ts|src/modules/open-platform/tests/OpenPlatformAiModelVendorOperations.test.ts,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platformAiModelConfigPersistenceTypes.ts,src/modules/open-platform/server/platformAiModelConfigPersistenceTypes.ts,protected_boundary,server_service,platform_config,113,3,5,1,credential_or_provider,2,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platformAiModelRegistryContract.ts,src/modules/open-platform/server/platformAiModelRegistryContract.ts,protected_boundary,server_service,shared,195,1,2,1,credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platformAiModelVendorOperations.ts,src/modules/open-platform/server/platformAiModelVendorOperations.ts,protected_boundary,server_service,provider_config,640,3,3,1,network；credential_or_provider,1,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platformAiProviderConfig.ts,src/modules/open-platform/server/platformAiProviderConfig.ts,protected_boundary,server_service,provider_config,201,2,5,2,credential_or_provider,1,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platformAiProviderConfigRepository.ts,src/modules/open-platform/server/platformAiProviderConfigRepository.ts,protected_boundary,server_repository,provider_config,92,4,3,1,database；credential_or_provider,0,0,1,no,server_repository；runtime_boundary；reverse_dependency,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platformAiReadonlyApiContract.ts,src/modules/open-platform/server/platformAiReadonlyApiContract.ts,keep_current,server_service,shared,130,3,3,1,,0,0,0,no,shared_owner,retain_current_location_and_stable_entry,no
src/modules/open-platform/server/platformAiRuntimeConfig.ts,src/modules/open-platform/server/platformAiRuntimeConfig.ts,protected_boundary,server_service,platform_config,77,0,6,1,environment；credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platformAiRuntimeSmoke.ts,src/modules/open-platform/server/platformAiRuntimeSmoke.ts,protected_boundary,server_service,ai_runtime,132,2,2,1,environment；network；credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/platformAiUsageCostContract.ts,src/modules/open-platform/server/platformAiUsageCostContract.ts,keep_current,server_service,shared,189,1,2,1,,0,0,0,no,shared_owner,retain_current_location_and_stable_entry,no
src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,protected_boundary,server_service,knowledge,556,2,23,2,,1,1,0,no,cross_module_outbound；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/tenant-account-management-repository.ts,src/modules/open-platform/server/tenant-account-management-repository.ts,protected_boundary,server_repository,tenant_governance,126,6,3,2,database,1,0,1,no,server_repository；runtime_boundary；cross_module_outbound；reverse_dependency,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/tenant-account-management-service.ts,src/modules/open-platform/server/tenant-account-management-service.ts,protected_boundary,server_service,tenant_governance,185,6,3,1,environment,5,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/tenant-commercial-records-repository.ts,src/modules/open-platform/server/tenant-commercial-records-repository.ts,protected_boundary,server_repository,commercial_entitlement,68,4,6,2,database,0,0,0,no,server_repository；runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/tenant-management-repository.ts,src/modules/open-platform/server/tenant-management-repository.ts,protected_boundary,server_repository,tenant_governance,150,4,3,2,database,0,0,0,no,server_repository；runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/tenant-plan-binding-repository.ts,src/modules/open-platform/server/tenant-plan-binding-repository.ts,protected_boundary,server_repository,commercial_entitlement,188,8,4,2,database,1,0,1,no,server_repository；runtime_boundary；cross_module_outbound；reverse_dependency,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/tenant-plan-binding-service.ts,src/modules/open-platform/server/tenant-plan-binding-service.ts,protected_boundary,server_service,commercial_entitlement,298,7,4,1,environment,4,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/tenant-plan-change-repository.ts,src/modules/open-platform/server/tenant-plan-change-repository.ts,protected_boundary,server_repository,commercial_entitlement,306,8,3,2,database,1,0,1,no,server_repository；runtime_boundary；cross_module_outbound；reverse_dependency,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/tenant-plan-change-service.ts,src/modules/open-platform/server/tenant-plan-change-service.ts,protected_boundary,server_service,commercial_entitlement,434,6,5,2,environment,2,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/trial-data-reset-service.ts,src/modules/open-platform/server/trial-data-reset-service.ts,protected_boundary,server_service,tenant_governance,235,5,2,1,database,2,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/vendorProviderConfig.ts,src/modules/open-platform/server/vendorProviderConfig.ts,protected_boundary,server_service,provider_config,154,6,2,1,credential_or_provider,1,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/vendorProviderConfigRepository.ts,src/modules/open-platform/server/vendorProviderConfigRepository.ts,protected_boundary,server_repository,provider_config,111,5,10,3,database；credential_or_provider,0,1,1,no,server_repository；runtime_boundary；cross_module_inbound；reverse_dependency；dynamic_path_reference；dynamic_sources=src/modules/open-platform/tests/OpenPlatformAiModelVendorOperations.test.ts,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/vendorProviderConfigTypes.ts,src/modules/open-platform/server/vendorProviderConfigTypes.ts,protected_boundary,server_service,provider_config,61,3,6,3,credential_or_provider,1,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/server/vendorProviderSmoke.ts,src/modules/open-platform/server/vendorProviderSmoke.ts,protected_boundary,server_service,provider_config,87,2,2,1,credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/tests/AiCreditMeteringRulesApiRoute.test.ts,src/modules/open-platform/tests/AiCreditMeteringRulesApiRoute.test.ts,protected_boundary,test,ai_runtime,240,7,0,0,database；environment；network；credential_or_provider,1,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/tests/AiCreditMeteringRulesClient.test.ts,src/modules/open-platform/tests/AiCreditMeteringRulesClient.test.ts,protected_boundary,test,ai_runtime,166,2,0,0,credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/tests/AiCreditMeteringRulesManagement.test.ts,src/modules/open-platform/tests/AiCreditMeteringRulesManagement.test.ts,protected_boundary,test,ai_runtime,219,2,0,0,network；credential_or_provider,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/tests/AiQuotaBoundaryPanel.test.tsx,src/modules/open-platform/tests/AiQuotaBoundaryPanel.test.tsx,protected_boundary,test,commercial_entitlement,30,3,0,0,browser_runtime,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/tests/AiUsageCreditsApiRoute.test.ts,src/modules/open-platform/tests/AiUsageCreditsApiRoute.test.ts,protected_boundary,test,shared,351,5,0,0,database；network；credential_or_provider,1,0,0,no,runtime_boundary；cross_module_outbound,require_boundary_specific_runtime_security_or_dependency_plan,no
